タイトル,分類,評価点数,評価人数,好き人数,pop_score
さくら茶屋," [石川] 金沢市 / カフェ、和食(うどん)、和食(海鮮)
            ",3.29,74.0,810.0,14.20453589353446
城山亭," [石川] 金沢市 / 和食(日本料理)、和食(郷土料理)、甘味処
            ",3.29,42.0,437.0,12.37434838063182
夕月亭," [石川] 金沢市 / 和食(日本料理)、和食(かに)、スイーツ
            ",3.09,22.0,302.0,9.688677127221071
特別名勝兼六園 堤亭," [石川] 金沢市 / 甘味処、和食(そば)、和食(うどん)
            ",3.35,73.0,594.0,14.418618062233971
兼六園 寄観亭," [石川] 金沢市 / 甘味処、和食(郷土料理)
            ",3.39,139.0,831.0,16.752167812645542
まほろば," [石川] 金沢市 / 和食(日本料理)、和食(かに)、和食(海鮮)
            ",3.11,14.0,345.0,8.422036125427873
兼六園 三芳庵," [石川] 金沢市 / 和食(日本料理)、和食(郷土料理)
            ",3.4,92.0,1486.0,15.410838276721071
内橋亭," [石川] 金沢市 / 和食(郷土料理)、甘味処、カフェ
            ",3.31,83.0,728.0,14.666003604171367
兼六園茶屋 見城亭," [石川] 金沢市 / 和食(日本料理)、カフェ、ソフトクリーム
            ",3.44,191.0,5359.0,18.085784079775568
蓬莱堂," [石川] 金沢市 / カフェ、ソフトクリーム、和食(日本料理)
            ",3.42,69.0,1023.0,14.529853727808808
お食事処万清亭," [石川] 金沢市 / 和食(うどん)、甘味処、カフェ
            ",3.03,17.0,96.0,8.757826426425378
清水亭," [石川] 金沢市 / 甘味処、食堂、和食(そば)
            ",3.24,38.0,255.0,11.869939733460054
福天," [石川] 金沢市 / 和食(天丼)、和食(そば)
            ",3.22,25.0,298.0,10.491070852429173
兼六亭," [石川] 金沢市 / 和食(郷土料理)、カフェ、和食(そば)
            ",3.43,109.0,1398.0,16.12264765466799
兼六坂 金澤さくら亭," [石川] 金沢市 / 和食(郷土料理)、和食(日本料理)、和食(かに)
            ",3.09,24.0,666.0,9.94632629884274
かなざわ玉泉邸," [石川] 金沢市 / 和食(日本料理)
            ",3.4,59.0,3763.0,13.920771511555142
アット スシ 金沢," [石川] 金沢市 / 創作料理、和食(海鮮)、和食(寿司)
            ",3.02,3.0,88.0,4.1866089705820695
舟楽 石川県観光物産館店," [石川] 金沢市 / 和食(棒寿司)、和食(寿司)
            ",3.02,3.0,82.0,4.1866089705820695
近江町海鮮丼家 ひら井 兼六園店," [石川] 金沢市 / 和食(海鮮丼)、和食(寿司)
            ",3.06,6.0,79.0,5.954485056109259
さくら," [石川] 金沢市 / 和食(日本料理)、和菓子
            ",3.09,9.0,57.0,7.114987937351602
山徳," [石川] 金沢市 / 喫茶店、食堂、和食(天丼)
            ",3.05,5.0,32.0,5.464866381145567
金沢広坂合同庁舎内食堂," [石川] 金沢市 / 和食(天ぷら)、洋食、和食(うどん)
            ",3.03,3.0,49.0,4.200471914193268
ことぶき," [石川] 金沢市 / 和食(麺類)、甘味処
            ",3.06,9.0,38.0,7.045910384561781
金沢 酢重," [石川] 金沢市 / 和食(日本料理)
            ",3.1,4.0,196.0,4.989257528545711
不室屋 石川県観光物産館店," [石川] 金沢市 / 和食(日本料理)
            ",3.04,9.0,75.0,6.9998586827019
